,Titles,Column_Titles,description,URLs
158,Sexual orientation by type of central heating in household,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Sexual orientation (6 categories) Code', 'Sexual orientation (6 categories)', 'Type of central heating in household (3 categories) Code', 'Type of central heating in household (3 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in households in England and Wales, by sexual orientation and central heating. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM179/editions/2021/versions/1
159,Sexual orientation by unpaid carer status,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Sexual orientation (6 categories) Code', 'Sexual orientation (6 categories)', 'Unpaid care (5 categories) Code', 'Unpaid care (5 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in England and Wales, by sexual orientation and unpaid carer status. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM178/editions/2021/versions/1
160,Sexual orientation by age,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Sexual orientation (6 categories) Code', 'Sexual orientation (6 categories)', 'Age (D) (8 categories) Code', 'Age (D) (8 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in England and Wales, by sexual orientation and age. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM177/editions/2021/versions/1
161,Gender identity by tenure,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Gender identity (7 categories) Code', 'Gender identity (7 categories)', 'Tenure of household (5 categories) Code', 'Tenure of household (5 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in households in England and Wales, by gender identity and tenure. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM176/editions/2021/versions/1
162,Gender identity by sexual orientation,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Gender identity (7 categories) Code', 'Gender identity (7 categories)', 'Sexual orientation (4 categories) Code', 'Sexual orientation (4 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in England and Wales, by gender identity and sexual orientation. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM175/editions/2021/versions/1
163,Gender identity by sex,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Gender identity (7 categories) Code', 'Gender identity (7 categories)', 'Sex (2 categories) Code', 'Sex (2 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in England and Wales, by gender identity and sex. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM174/editions/2021/versions/1
164,Gender identity by religion,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Gender identity (4 categories) Code', 'Gender identity (4 categories)', 'Religion (10 categories) Code', 'Religion (10 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in England and Wales, by gender identity and religion. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM173/editions/2021/versions/1
165,Gender identity by occupancy rating (rooms),"['Lower tier local authorities Code', 'Lower tier local authorities', 'Gender identity (7 categories) Code', 'Gender identity (7 categories)', 'Occupancy rating for rooms (6 categories) Code', 'Occupancy rating for rooms (6 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in households in England and Wales, by gender identity and occupancy rating (rooms). The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM172/editions/2021/versions/1
166,Gender identity by occupancy rating (bedrooms),"['Lower tier local authorities Code', 'Lower tier local authorities', 'Gender identity (7 categories) Code', 'Gender identity (7 categories)', 'Occupancy rating for bedrooms (6 categories) Code', 'Occupancy rating for bedrooms (6 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in households in England and Wales, by gender identity and occupancy rating (bedrooms). The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM171/editions/2021/versions/1
167,Gender identity by NS-SEC,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Gender identity (7 categories) Code', 'Gender identity (7 categories)', 'National Statistics Socio-economic Classification (NS-SeC) (10 categories) Code', 'National Statistics Socio-economic Classification (NS-SeC) (10 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in England and Wales, by gender identity and NS-SEC. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM170/editions/2021/versions/1
168,Gender identity by industry,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Gender identity (4 categories) Code', 'Gender identity (4 categories)', 'Industry (current) (9 categories) Code', 'Industry (current) (9 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in England and Wales, by gender identity and industry. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM169/editions/2021/versions/1
169,Gender identity by hours worked,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Gender identity (7 categories) Code', 'Gender identity (7 categories)', 'Hours worked (5 categories) Code', 'Hours worked (5 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in employment the week before the census in England and Wales, by gender identity and hours worked. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM168/editions/2021/versions/1
170,Gender identity by highest qualification held,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Gender identity (7 categories) Code', 'Gender identity (7 categories)', 'Highest level of qualification (8 categories) Code', 'Highest level of qualification (8 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in England and Wales, by gender identity and highest level of qualification. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM167/editions/2021/versions/1
171,Gender identity by family composition,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Gender identity (7 categories) Code', 'Gender identity (7 categories)', 'Household composition (8 categories) Code', 'Household composition (8 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in households in England and Wales, by gender identity and family composition. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM166/editions/2021/versions/1
172,Gender identity by dwelling type,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Gender identity (7 categories) Code', 'Gender identity (7 categories)', 'Accommodation by type of dwelling (8 categories) Code', 'Accommodation by type of dwelling (8 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in households in England and Wales, by gender identity and dwelling type. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM165/editions/2021/versions/1
173,Gender identity by type of central heating in household,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Gender identity (7 categories) Code', 'Gender identity (7 categories)', 'Type of central heating in household (3 categories) Code', 'Type of central heating in household (3 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in households in England and Wales, by gender identity and central heating. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM164/editions/2021/versions/1
174,Gender identity by age by sex,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Gender identity (4 categories) Code', 'Gender identity (4 categories)', 'Age (D) (8 categories) Code', 'Age (D) (8 categories)', 'Sex (2 categories) Code', 'Sex (2 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in England and Wales, by gender identity, by age, and by sex. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM163/editions/2021/versions/1
175,Welsh language skills by tenure - Household Reference Persons,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Welsh language skills (4 categories) Code', 'Welsh language skills (4 categories)', 'Tenure of household (5 categories) Code', 'Tenure of household (5 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify Household Reference Persons aged 3 years and over in Wales by Welsh language skills and by tenure. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM162/editions/2021/versions/1
176,Welsh language skills by sex by age,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Welsh language skills (8 categories) Code', 'Welsh language skills (8 categories)', 'Sex (2 categories) Code', 'Sex (2 categories)', 'Age (6 categories) Code', 'Age (6 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents aged 3 years and over in Wales by Welsh language skills, by sex, and by age. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM161/editions/2021/versions/1
177,Welsh language skills by country of birth,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Welsh language skills (8 categories) Code', 'Welsh language skills (8 categories)', 'Country of birth (13 categories) Code', 'Country of birth (13 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents in Wales aged 3 years and over in Wales by Welsh language skills and country of birth. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM160/editions/2021/versions/1
178,Number of people who can speak Welsh by household size,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Welsh-speakers in household (8 categories) Code', 'Welsh-speakers in household (8 categories)', 'Household size (7 categories) Code', 'Household size (7 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents aged 3 years and over in households in Wales who can speak Welsh, by Welsh language skills and by household size. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM158/editions/2021/versions/1
179,Disability by ability to speak Welsh by age,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Disability - Equality act disabled (4 categories) Code', 'Disability - Equality act disabled (4 categories)', 'Welsh speaking ability (3 categories) Code', 'Welsh speaking ability (3 categories)', 'Age (B) (3 categories) Code', 'Age (B) (3 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents in Wales aged 3 years and over in Wales by disability, by ability to speak Welsh, and by age. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM157/editions/2021/versions/1
180,General health by ability to speak Welsh by age,"['Lower tier local authorities Code', 'Lower tier local authorities', 'General health (3 categories) Code', 'General health (3 categories)', 'Welsh speaking ability (3 categories) Code', 'Welsh speaking ability (3 categories)', 'Age (B) (3 categories) Code', 'Age (B) (3 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents aged 3 years and over in Wales by general health, by ability to speak Welsh, and by age. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM156/editions/2021/versions/1
181,Ability to speak Welsh by employment history,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Welsh speaking ability (3 categories) Code', 'Welsh speaking ability (3 categories)', 'Employment history (4 categories) Code', 'Employment history (4 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in Wales by ability to speak Welsh and by whether and when they were last employed. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM154/editions/2021/versions/1
182,Ability to speak Welsh by tenure - Household Reference Persons,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Welsh speaking ability (3 categories) Code', 'Welsh speaking ability (3 categories)', 'Tenure of household (5 categories) Code', 'Tenure of household (5 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify Household Reference Persons in Wales by ability to speak Welsh and by tenure. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM153/editions/2021/versions/1
183,Ability to speak Welsh by occupation,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Welsh speaking ability (3 categories) Code', 'Welsh speaking ability (3 categories)', 'Occupation (current) (10 categories) Code', 'Occupation (current) (10 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in employment the week before the census in Wales by ability to speak Welsh and by occupation. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM152/editions/2021/versions/1
184,Ability to speak Welsh by NS-SEC,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Welsh speaking ability (3 categories) Code', 'Welsh speaking ability (3 categories)', 'National Statistics Socio-economic Classification (NS-SeC) (10 categories) Code', 'National Statistics Socio-economic Classification (NS-SeC) (10 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in Wales by ability to speak Welsh and by NS-SEC. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM151/editions/2021/versions/1
185,Ability to speak Welsh by national identity by age,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Welsh speaking ability (3 categories) Code', 'Welsh speaking ability (3 categories)', 'National identity (9 categories) Code', 'National identity (9 categories)', 'Age (B) (3 categories) Code', 'Age (B) (3 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents in Wales aged 3 years and over in Wales by ability to speak Welsh, by national identity, and by age. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM150/editions/2021/versions/1
186,Ability to speak Welsh by industry,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Welsh speaking ability (3 categories) Code', 'Welsh speaking ability (3 categories)', 'Industry (current) (9 categories) Code', 'Industry (current) (9 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in employment the week before the census in Wales by ability to speak Welsh by industry. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM149/editions/2021/versions/1
187,Year last worked by age,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Employment history (4 categories) Code', 'Employment history (4 categories)', 'Age (6 categories) Code', 'Age (6 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in England and Wales by year last worked and by age. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM148/editions/2021/versions/1
188,Veterans by age,"['Lower tier local authorities Code', 'Lower tier local authorities', 'UK armed forces veteran indicator (5 categories) Code', 'UK armed forces veteran indicator (5 categories)', 'Age (B) (14 categories) Code', 'Age (B) (14 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in England and Wales who have previously served in the UK armed forces by their age. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM147/editions/2021/versions/1
189,Veterans by occupation,"['Lower tier local authorities Code', 'Lower tier local authorities', 'UK armed forces veteran indicator (5 categories) Code', 'UK armed forces veteran indicator (5 categories)', 'Occupation (current) (10 categories) Code', 'Occupation (current) (10 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in employment the week before the census in England and Wales who have previously served in the UK armed forces by their occupation. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM146/editions/2021/versions/1
190,Veterans by general health,"['Lower tier local authorities Code', 'Lower tier local authorities', 'UK armed forces veteran indicator (5 categories) Code', 'UK armed forces veteran indicator (5 categories)', 'General health (3 categories) Code', 'General health (3 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in England and Wales who have previously served in the UK armed forces by their general health. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM145/editions/2021/versions/1
191,Veterans by economic activity status,"['Lower tier local authorities Code', 'Lower tier local authorities', 'UK armed forces veteran indicator (5 categories) Code', 'UK armed forces veteran indicator (5 categories)', 'Economic activity status (4 categories) Code', 'Economic activity status (4 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in England and Wales who have previously served in the UK armed forces by their economic activity status. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM144/editions/2021/versions/1
192,Veterans by disability,"['Lower tier local authorities Code', 'Lower tier local authorities', 'UK armed forces veteran indicator (5 categories) Code', 'UK armed forces veteran indicator (5 categories)', 'Disability - Equality act disabled (4 categories) Code', 'Disability - Equality act disabled (4 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in England and Wales who have previously served in the UK armed forces by disability. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM143/editions/2021/versions/1
193,Veteran households by tenure,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Number of people in household who previously served in UK armed forces (4 categories) Code', 'Number of people in household who previously served in UK armed forces (4 categories)', 'Tenure of household (5 categories) Code', 'Tenure of household (5 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify households in England and Wales containing at least one armed forces veteran by tenure. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM142/editions/2021/versions/1
194,Type of central heating in household by occupancy rating (rooms) by age,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Type of central heating in household (3 categories) Code', 'Type of central heating in household (3 categories)', 'Occupancy rating for rooms (5 categories) Code', 'Occupancy rating for rooms (5 categories)', 'Age (6 categories) Code', 'Age (6 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents in households in England and Wales by type of central heating in household, by occupancy rating (rooms), and by age. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM141/editions/2021/versions/1
195,Tenure by occupation - Household Reference Persons,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Tenure of household (5 categories) Code', 'Tenure of household (5 categories)', 'Occupation (current) (10 categories) Code', 'Occupation (current) (10 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify Household Reference Persons aged 16 years and over in employment the week before the census in England and Wales by tenure and by occupation. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM140/editions/2021/versions/1
196,Tenure by number of people per room in household by accommodation type,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Tenure of household (5 categories) Code', 'Tenure of household (5 categories)', 'Number of people per room in household (5 categories) Code', 'Number of people per room in household (5 categories)', 'Accommodation type (5 categories) Code', 'Accommodation type (5 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify households in England and Wales by tenure, by number of people per room in household, and by accommodation type. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM139/editions/2021/versions/1
197,Tenure by NS-SEC - Household Reference Persons,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Tenure of household (5 categories) Code', 'Tenure of household (5 categories)', 'National Statistics Socio-economic Classification (NS-SeC) (10 categories) Code', 'National Statistics Socio-economic Classification (NS-SeC) (10 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify Household Reference Persons aged 16 years and over in England and Wales by tenure and by NS-SEC. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM138/editions/2021/versions/1
198,Tenure by number of rooms,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Tenure of household (5 categories) Code', 'Tenure of household (5 categories)', 'Number of rooms (Valuation Office Agency) (6 categories) Code', 'Number of rooms (Valuation Office Agency) (6 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify households in England and Wales by tenure and by number of rooms. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM137/editions/2021/versions/1
199,Tenure by household size by number of bedrooms,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Tenure of household (5 categories) Code', 'Tenure of household (5 categories)', 'Household size (5 categories) Code', 'Household size (5 categories)', 'Number of Bedrooms (5 categories) Code', 'Number of Bedrooms (5 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify households in England and Wales by tenure, by household size, and by number of bedrooms. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM136/editions/2021/versions/1
200,Tenure by household composition,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Tenure of household (5 categories) Code', 'Tenure of household (5 categories)', 'Household composition (15 categories) Code', 'Household composition (15 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify households in England and Wales by tenure and by household composition. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM135/editions/2021/versions/1
201,Tenure by ethnic group - Household Reference Persons,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Tenure of household (5 categories) Code', 'Tenure of household (5 categories)', 'Ethnic group (8 categories) Code', 'Ethnic group (8 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify Household Reference Persons in England and Wales by tenure and by ethnic group. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM134/editions/2021/versions/1
202,Tenure by economic activity status - Household Reference Persons,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Tenure of household (5 categories) Code', 'Tenure of household (5 categories)', 'Economic activity status (10 categories) Code', 'Economic activity status (10 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify Household Reference Persons aged 16 years and over in England and Wales by tenure and by economic activity status. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM133/editions/2021/versions/1
203,Tenure by dependent children in household,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Tenure of household (5 categories) Code', 'Tenure of household (5 categories)', 'Dependent children in household and their age - indicator (3 categories) Code', 'Dependent children in household and their age - indicator (3 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify households in England and Wales by tenure and by dependent children in household. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM132/editions/2021/versions/1
204,Tenure by car or van availability by ethnic group of Household Reference Person,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Tenure of household (5 categories) Code', 'Tenure of household (5 categories)', 'Car or van availability (3 categories) Code', 'Car or van availability (3 categories)', 'Ethnic group (8 categories) Code', 'Ethnic group (8 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify Household Reference Persons in England and Wales by tenure by car or van availability, and by ethnic group. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM130/editions/2021/versions/1
205,Student accommodation by age,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Student accommodation type (7 categories) Code', 'Student accommodation type (7 categories)', 'Age (7 categories) Code', 'Age (7 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify schoolchildren and full-time students aged 5 years and over in England and Wales by student accommodation and by age. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM129/editions/2021/versions/1
206,Sexual orientation by occupation,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Sexual orientation (6 categories) Code', 'Sexual orientation (6 categories)', 'Occupation (current) (10 categories) Code', 'Occupation (current) (10 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in employment the week before the census in England and Wales, by sexual orientation by occupation. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM128/editions/2021/versions/1
207,Sexual orientation by legal partnership status,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Sexual orientation (6 categories) Code', 'Sexual orientation (6 categories)', 'Marital and civil partnership status (7 categories) Code', 'Marital and civil partnership status (7 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in England and Wales by sexual orientation by legal partnership status. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM127/editions/2021/versions/1
208,Sexual orientation by general health,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Sexual orientation (6 categories) Code', 'Sexual orientation (6 categories)', 'General health (6 categories) Code', 'General health (6 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in England and Wales by sexual orientation by general health. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM126/editions/2021/versions/1
209,Sexual orientation by ethnic group,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Sexual orientation (6 categories) Code', 'Sexual orientation (6 categories)', 'Ethnic group (8 categories) Code', 'Ethnic group (8 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in England and Wales by sexual orientation by ethnicity. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM125/editions/2021/versions/1
210,Sexual orientation by economic activity status,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Sexual orientation (6 categories) Code', 'Sexual orientation (6 categories)', 'Economic activity status (7 categories) Code', 'Economic activity status (7 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in England and Wales by sexual orientation by economic activity status. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM124/editions/2021/versions/1
211,Sexual orientation by disability,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Sexual orientation (6 categories) Code', 'Sexual orientation (6 categories)', 'Disability - Equality act disabled (4 categories) Code', 'Disability - Equality act disabled (4 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in England and Wales by sexual orientation by disability. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM123/editions/2021/versions/1
212,Sexual orientation by age and sex,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Sexual orientation (4 categories) Code', 'Sexual orientation (4 categories)', 'Age (D) (8 categories) Code', 'Age (D) (8 categories)', 'Sex (2 categories) Code', 'Sex (2 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in England and Wales by sexual orientation by age, and by sex. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM122/editions/2021/versions/1
213,Sex by age,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Sex (2 categories) Code', 'Sex (2 categories)', 'Age (23 categories) Code', 'Age (23 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents in England and Wales by sex, and by age. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM121/editions/2021/versions/1
214,Residence type by sex by age,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Residence type (2 categories) Code', 'Residence type (2 categories)', 'Sex (2 categories) Code', 'Sex (2 categories)', 'Age (23 categories) Code', 'Age (23 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents in England and Wales by residence type (household or communal establishment resident), by sex, and by age. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM120/editions/2021/versions/1
215,Residence type by age,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Age (6 categories) Code', 'Age (6 categories)', 'Residence type (2 categories) Code', 'Residence type (2 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents in England and Wales by residence type (household or communal establishment resident) and by age. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM119/editions/2021/versions/1
216,Religion by age,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Religion (10 categories) Code', 'Religion (10 categories)', 'Age (8 categories) Code', 'Age (8 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents in England and Wales by religion and by age. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM118/editions/2021/versions/1
217,Religion by accommodation type,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Religion (10 categories) Code', 'Religion (10 categories)', 'Accommodation type (5 categories) Code', 'Accommodation type (5 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents in households in England and Wales by religion and by accommodation type. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM117/editions/2021/versions/1
